Name	Set	ImageFile	Class	Level	Attack	HP	Type	Type2	Text	 Text2 	 Text3 	Rarity	Number
Chief Gray	Set1	chiefgray	Magician	49	10	30	Monster	Alien	Super Genius -- When you play Chief Gray, reveal the top card of your deck. If it's a tactic, you may play it. If you don't play it, or if it's not a tactic, put it into your hand.	 OS: Quest -- Draw a card. 	   	R	1026
Dark Axe Stump	Set1	darkaxestump	Magician	22	10	40	Monster	Dark Flora	 	 40MM  Spawn 40 -- Play a monster of level 40 or less. 	   	C	1027
Energy Bolt	Set1	energybolt	Magician	40	 	 	Tactic	Skill	Do 80 damage to a character or monster.	 60MM Spawn / Think Fast 70 -- Play a monster or tactic of level 70 or less. 	   	C	1028
Evil Tale	Set1	eviltale	Magician	58	 	 	Item	Wand	Whenever you play a tactic, do 30 damage to a character or monster.	 60MM Think Fast / Equip 70 -- Play a tactic or item of level 70 or less. 	   	R	1029
Heal	Set1	heal	Magician	30	 	 	Tactic	Skill	You get +80 HP. You can't go over your starting HP with Heal.	 30M Equip 30 -- Play an item of level 30 or less. 	   	C	1030
Jr. Necki	Set1	jrnecki	Magician	21	30	30	Monster	Worm	 	 30M Spawn 30 -- Play a monster of level 30 or less. 	   	C	1031
Knowledge Is Power	Set1	knowledgeispower	Magician	20	 	 	Tactic	Strategy	Search your deck for a tactic card, reveal it, and put it in your hand. Then shuffle your deck.	 40MMM Think Fast X -- Play a tactic of your level or less. 	   	U	1032
Lioner	Set1	lioner	Magician	53	50	50	Monster	Kitty	 	 70MM Spawn / Think Fast 90 -- Play a monster or tactic of level 90 or less. 	   	C	1033
Lucida	Set1	lucida	Magician	73	60	90	Monster	Dark Kitty	Wicked -- Whenever you get +HP, do that damage to your opponent's character.	 OS: Conjure -- Return another Magician card from under your character to your hand. 	   	R	1034
Magic Claw	Set1	magicclaw	Magician	20	 	 	Tactic	Skill	Do 20 damage to a character or monster. Then do 20 damage to a character or monster.	 20M Think Fast 30 -- Play a tactic of level 30 or less. 	   	C	1035
Maple Staff	Set1	maplestaff	Magician	35	 	 	Item	Weapon	Whenever you would draw a card, you may look at the top 2 cards of your deck instead. Put one into your hand and discard the other.	 30MM Think Fast 40 -- Play a tactic of level 40 or less. 	   	U	1036
Maya	Set1	maya	Magician		 	190	Character	Magician	10 Quest -- Draw a card.	 20M Fire Arrow -- Do 10 damage to a character or monster. 	 30MM Think Fast X -- Play a tactic of your level or less. 	C	1037
Meditation	Set1	meditation	Magician	30	 	 	Tactic	Skill	Get +40 on damage you do with the next tactic or monster attack this turn. Draw a card.	 10M Assist -- Get +10 on the next damage you do with a tactic or monster attack this turn. 	   	U	1038
MP Eater	Set1	mpeater	Magician	30	 	 	Tactic	Skill	Until the start of your next turn, your opponent's monsters lose their abilities. Do 50 damage to a character or monster.	 OS: Jumble -- Swap the position of this card with another card under your character. 	   	U	1039
Octopus	Set1	octopus	Magician	12	10	10	Monster	Alien	Genius -- Draw a card.	 OS: Quest -- Draw a card. 	   	C	1040
Peach Monkey	Set1	peachmonkey	Magician	62	60	60	Monster	Monkey	Greedy -- When you play Peach Monkey, you may destroy an item.	 80MM Spawn 120 -- Play a monster of level 120 or less. 	   	U	1041
Red Apprentice Hat	Set1	redapprenticehat	Magician	10	 	 	Item	Armor	When you play Red Apprentice Hat, draw a card. Whenever you level up get +10 HP.	 40MM Equip 40 -- Play an item of level 40 or less. 	   	C	1042
Side Quest	Set1	sidequest	Magician	40	 	 	Tactic	Strategy	Draw 2 Cards.	 30M Think Fast 40 -- Play a tactic of level 40 or less. 	   	C	1043
Stormwind	Set1	stormwind	Magician		 	180	Character	Ice / Lightning Mage	10 Quest -- Draw a card.	 30MM Think Fast X -- Play a tactic of your level or less. 	 70MMM Thunder Spear -- Do 40 damage to a character. 	R	1044
Teleport	Set1	teleport	Magician	50	 	 	Tactic	Skill	Next turn, monsters can't attack your character.	 OS: Jump Quest -- If you're level 70 or more, draw 2 cards. 	   	R	1045
Thunder Bolt	Set1	thunderbolt	Magician	60	 	 	Tactic	Skill	Do 50 damage to each of your opponent's monsters. Then do 50 damage to your opponent's character.	 60MMM Blast -- Do 30 damage to a character. 	   	R	1046
Zeta Gray	Set1	zetagray	Magician	42	20	20	Monster	Alien	Genius -- When you play Zeta Gray, draw a card.	 OS: Quest -- Draw a card. 	   	U	1047
Zombie Lupin	Set1	zombielupin	Magician	40	20	20	Monster	Undead Monkey	Devious -- When you play Zombie Lupin, return a tactic from your discard pile to your hand.	 OS: Drink Potion -- You get +HP equal to your level. 	   	R	1048
Avenger	Set1	avenger	Thief	70	 	 	Tactic	Skill	Destroy up to 3 monsters. Draw a card.	 70T Think Fast 90 -- Play a tactic of level 90 or less. 	   	R	1049
Blood Slain	Set1	bloodslain	Thief	50	 	 	Item	Weapon	Whenever one of your character actions, monster attacks, or tactics does damage, it gets +10 damage.	 70TTT Sneak X -- Play a card of your level or less. 	   	R	1050
Blue NightFox	Set1	bluenightfox	Thief	70	 	 	Item	Armor	Your opponent's monsters can't attack on the turn they're played.	 40TTT Crafty -- Play a thief card of your level or less. 	   	R	1051
Buffy	Set1	buffy	Thief	61	40	40	Monster	Undead Clown	Shriek -- When you play Buffy, destroy a card under a character.	 20T Sneak 20 -- Play a card of level 20 or less. 	   	R	1052
Cico	Set1	cico	Thief	25	30	20	Monster	Water Beast	Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it.	 40TT Spawn / Equip 30 -- Play a monster or item of level 30 or less. 	   	C	1053
Coconut Knife	Set1	coconutknife	Thief	20	 	 	Item	Weapon	Get +10 on damage you do with one of your character actions each turn.	 OS: Spy -- Draw a card. Then discard a card from your hand. 	   	C	1054
Croco	Set1	croco	Thief	52	70	40	Monster	Reptile	 	 30TTT Equip X -- Play an item of your level or less. 	   	C	1055
Dark Shadow	Set1	darkshadow	Thief	40	 	 	Item	Armor	Prevent 10 damage from each monster that attacks your character.	 60TT Spawn / Equip 70 -- Play a monster or item of level 70 or less. 	   	U	1056
Double Strike	Set1	doublestrike	Thief	20	 	 	Tactic	Skill	Destroy a monster	 70TT Slash -- Do 20 damage to a character or monster. 	   	U	1057
Emerald Earrings	Set1	emeraldearrings	Thief	30	 	 	Item	Armor	Whenever you play another item, reveal the top card of your deck. If it's an item card, put it into your hand. Otherwise put it back.	 70TT Sneak 70 -- Play a card level 70 or less. 	   	U	1058
Ivan	Set1	ivan	Thief		 	220	Character	Rogue	10T Stab -- Do 10 damage to a character or monster	 10 Quest -- Draw a card. 	 20T Equip X -- Play an item of your level or less. 	C	1059
Krappy	Set1	krappy	Thief	24	60	30	Monster	Water Fish	Confused -- Krappy can't attack on the turn you play it.	 30T Stab -- Do 10 damage to a character or monster. 	   	C	1060
Krip	Set1	krip	Thief	30	30	20	Monster	Water Shrimp	 	 70TT Slash -- Do 20 damage to a character or monster. 	   	C	1061
Kumbi Throwing Star	Set1	kumbithrowingstar	Thief	30	 	 	Item	Weapon	Whenever one of you opponent's character actions damages you, do 20 damage to that character	 10T Equip 20 -- Play an item of level 20 or less. 	   	U	1062
Lorang	Set1	lorang	Thief	37	40	10	Monster	Water Crab	Tough -- Character actions don't damage Lorang.	 50T Spawn 50 -- Play a monster of level 50 or less. 	   	C	1063
Mistmoon	Set1	mistmoon	Thief		 	200	Character	Assassin	10T Stab -- Do 10 damage to a character or monster.	 20 Quest -- Draw a card. 	 40TT Sneak 40 -- Play a card of level 40 or less. 	R	1064
Orange Mushroom	Set1	orangemushroom	Thief	8	30	10	Monster	Mushroom	Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it.	 30T Equip 40 -- Play an item of level 40 or less. 	   	U	1065
Pink Teddy	Set1	pinkteddy	Thief	32	30	30	Monster	Toy Bear	 	 OS: Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it. 	   	C	1066
Propelly	Set1	propelly	Thief	37	50	20	Monster	Flying Toy	 	 OS: Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it. 	   	U	1067
Red Night	Set1	rednight	Thief	10	 	 	Item	Armor	Whenever one of your monsters is destroyed, flip a coin, If you win your opponent chooses and discards a card from his or her hand.	 OS: Spy -- Draw a card. Then discard a card. 	   	R	1068
Red Snail	Set1	redsnail	Thief	4	10	20	Monster	Pest	Tough -- Character actions don't damage Red Snail.	 70TT Spawn 90 -- Play a monster of level 90 or less. 	   	C	1069
Seacle	Set1	seacle	Thief	23	20	20	Monster	Water Beast	Slippery -- When Seacle is destroyed, flip a coin. If you win, return it to play.	 30T Spawn / Think Fast 30 -- Play a monster or tactic of level 30 or less. 	   	U	1070
Soul Teddy	Set1	soulteddy	Thief	63	50	40	Monster	Undead Toy Bear	Tough -- Character actions don't damage Soul Teddy. Startle -- Whenever Soul Teddy attacks your opponent's character, that player discards a card at random from his or her hand.	 OS: Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it. 	   	R	1071
Swipe	Set1	swipe	Thief	30	 	 	Tactic	Strategy	Your opponent discards a card at random from his or her hand.	 OS: Spy -- Draw a card. Then discard a card. 	   	C	1072
Battle Shield	Set1	battleshield	Warrior	35	 	 	Item	Shield	Each of your monsters gets +20 HP	 50WW Think Fast / Equip 40 -- Play a tactic or equip of level 40 or less. 	   	U	1073
Block Golem	Set1	blockgolem	Warrior	42	40	40	Monster	Guardian	 	 OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise put it back. 	   	U	1074
Doombringer	Set1	doombringer	Warrior	70	 	 	Item	Weapon	Get +30 damage you do with each of your character actions.	 60WWW Roar -- For each monster you have, do 20 damage to a character or monster. 	   	R	1075
Fire Boar	Set1	fireboar	Warrior	32	10	50	Monster	Fire Boar	Fierce -- Fire Boar attacks twice each turn.	 30WW Spawn 40 -- Play a monster of level 40 or less. 	   	C	1076
Green Mushroom	Set1	greenmushroom	Warrior	15	10	40	Monster	Mushroom	 	 70WW Spawn / Equip 90 -- Play a monster or item of level 90 or less. 	   	C	1077
Grizzly	Set1	grizzly	Warrior	56	50	60	Monster	Bear	 	 50WWW Spawn X -- Play a monster of your level or less. 	   	C	1078
Item Trade	Set1	itemtrade	Warrior	30	 	 	Tactic	Strategy	Destroy an Item	 OS: Drink Potion -- You get +HP equal to your level. 	   	U	1079
Jr. Yeti	Set1	jryeti	Warrior	50	20	50	Monster	Ice Beast	Fierce -- Jr. Yeti attacks twice each turn.	 50WW Crush -- Do 20 damage to a monster. 	   	U	1080
Officer Skeleton	Set1	officerskeleton	Warrior	63	50	60	Monster	Undead Soldier	Bone Rattle -- Whenever one of your monsters destroys a monster, do 20 damage to your opponent's character.	 50WW Buff -- Monsters that attack this turn each get +10 attack until the end of the turn. 	   	U	1081
Panda	Set1	panda	Warrior	60	40	60	Monster	Bear	Mystic Power -- Whenever Panda attacks, you get +40 HP	 OS: Revive -- Return a monster card of level 50 or more from your discard pile to your hand. 	   	R	1082
Pepe	Set1	pepe	Warrior	60	40	70	Monster	King Ice Bird	Relentless 10 -- Whenever Pepe destroys a monster, do 10 damage to your opponent's character.	 60W Spawn / Think Fast 70 -- Play a monster or tactic of level 70 or less. 	   	C	1083
Pull	Set1	pull	Warrior	40	 	 	Tactic	Strategy	Search your deck for a monster card, reveal it, and put it into your hand. Then shuffle your deck.	 OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise put it back. 	   	R	1084
Resting	Set1	resting	Warrior	10	 	 	Tactic	Strategy	You get +20 HP. Draw a card.	 70W Spawn / Think Fast 90 -- Play a monster or tactic of level 90 or less. 	   	C	1085
Ribbon Pig	Set1	ribbonpig	Warrior	10	20	20	Monster	Boar	 	 10W Spawn 20 -- Play a monster of level 20 or less. 	   	U	1086
Sentinel	Set1	sentinel	Warrior	30	20	30	Monster	Mechanical Guardian	 	 OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise put it back. 	   	C	1087
Serpent's Tongue	Set1	serpentstongue	Warrior	50	 	 	Item	Weapon	Whenever one of your monsters destroys a monster, you get +30 HP.	 50WW Crush -- Do 20 damage to a monster. 	   	U	1088
Sherman	Set1	sherman	Warrior		 	240	Character	Swordsman	10W Bash -- Do 10 damage to a character or monster.	 20 Quest -- Draw a card. 	 30WW Spawn X -- Spawn a monster of your level or less. 	C	1089
Slime	Set1	slime	Warrior	6	10	10	Monster	Goo	Squish -- When you play Slime, you may destroy an item.	 40WW Refresh -- You get +10 HP. 	   	C	1090
Starblade	Set1	starblade	Warrior		 	260	Character	Fighter	10W Bash -- Do 10 damage to a character or monster.	 20 Quest -- Draw a card. 	 50WW Buff -- Monsters that attack this turn each get +20 attack until end of turn. 	R	1091
Stone Golem	Set1	stonegolem	Warrior	55	40	70	Monster	Guardian	Relentless 40 -- Whenever Stone Golem destroys a monster, do 40 damage to your opponent's character.	 OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise put it back. 	   	R	1092
Tauromacis	Set1	tauromacis	Warrior	70	50	40	Monster	Bull Human	Prevail -- When Tauromacis is destroyed return it to your hand.	 OS: Train Hard -- If you have 3 or more Warrior cards under your character, you may level up with another card. 	   	R	1093
The Nine Dragons	Set1	theninedragons	Warrior	50	 	 	Item	Weapon	Each of your monsters gets +20 attack.	 30W Equip 30 -- Play an item of level 30 or less. 	   	C	1094
Wild Boar	Set1	wildboar	Warrior	25	30	30	Monster	Boar	 	 40WW Think Fast / Equip 30 -- Play a tactic or item of level 30 or less. 	   	C	1095
Yeti and Pepe	Set1	yetipepe	Warrior	78	50	80	Monster	Ice-Bird Beast	Fierce -- Yeti and Pepe attack twice each turn. Relentless 20 -- Whenever Yeti and Pepe destroys a monster, do 20 damage to your opponent's character.	 70WWW Spawn / Equip 100 -- Play a monster or item of level 100 or less. 	   	R	1096
Angry Stirge	Set2	angrystirge	Bowman	20	30	20	Monster	Flying Bat	Fearsome -- A monster or character of level 40 or less can't attack Angry Stirge or damage it with character actions.	 40BB Snare -- Reveal the top card of your deck. If it's a monster of level 20 or less, play it. Otherwise put it back. 	   	U	2001
Blue Mushroom	Set2	bluemushroom	Bowman	20	20	20	Monster	Mushroom	Bump -- When you play Blue Mushroom, you may return a monster to its player's hand.	 30B Spawn 30 -- Play a monster of level 30 or less. 	   	C	2002
Brave Fairy	Set2	bravefairy	Bowman	30	30	20	Monster	Flying Fairy	Rescue -- Whenever your opponent levels up, you may return a monster of level 30 or less from your discard pile to your hand.	 20BB Double Spawn 20 -- Play up to 2 monsters of level 20 or less. 	   	U	2003
Chronos	Set2	chronos	Bowman	37	40	20	Monster	Flying Spook	Stealthy -- Monsters can't attack Chronos.	 OS: Bowman Prowess -- Play a Bowman card of your level or less. 	   	C	2004
Dark Drake	Set2	darkdrake	Bowman	68	50	50	Monster	Dark Flying Dragon	Leader 20 -- Each of your other Flying, Dragon, and Dark Monsters gets +20 attack and +20 HP. Shadow Sky -- Each of your Flying monsters gets Stealthy.	 60BB Spawn / Think Fast 70 -- Play a monster or tactic of level 70 or less. 	   	R	2005
Final Attack: Bow	Set2	finalattack	Bowman	30	 	 	Tactic	Skill	For each Bowman card under your character do 10 damage to a character or monster.	 40B Arrow Storm -- Choose a character or monster. Do 10 damage to it +10 for each Arrow Storm used already this turn. 	   	U	2006
Indigo	Set2	indigo	Bowman		 	210	Character	Hunter	20B Bow Booster -- Get +20 on the next damage you do this turn.	 30 Quest -- Draw a card. 	 50BB Tricky Shot -- Do 20 damage to a character or monster. 	U	2007
Janitor's Mop	Set2	janitorsmop	Bowman	25	 	 	Item	Weapon	Whenever you play a monster, do 10 damage to a character or monster.	 40B Arrow Storm -- Choose a character or monster. Do 10 damage to it +10 for each Arrow Storm used already this turn. 	   	C	2008
Jr. Balrog	Set2	jrbalrog	Bowman	80	40	150	Monster	Boss	Rend -- Damage from Jr. Balrog can't be prevented.	 100BBB Meteor Slam -- Jr. Balrog does 30 damage to a character or monster. Then Jr. Balrog does another 30 damage to a character or monster. 	   	R	2009
Luster Pixie	Set2	lusterpixie	Bowman	52	50	50	Monster	Flying Spook	 	 OS: Revive -- Return a monster of level 30 or less from your discard pile to your hand. 	   	C	2010
Maple Soul Searcher	Set2	maplesoulsearcher	Bowman	45	 	 	Item	Weapon	Damage from your character actions can't be prevented.	 50BB Think Fast / Equip 40 -- Play a tactic or item of level 40 or less. 	   	R	2011
Masterful Knock-Back	Set2	masterfulknockback	Bowman	30	 	 	Tactic	Skill	Return a monster to its player's hand. Monsters with that name can't be played next turn.	 80BB Spawn 120 -- Play a monster of level 120 or less. 	   	C	2012
Papa Pixie	Set2	papapixie	Bowman	74	40	120	Monster	Boss	60BB Spook Summon -- If Papa Pixie has 60 HP or less, you may search your deck for a Spook and play it. Then shuffle your deck.	   	   	U	2013
Papa Pixie's Time Warp	Set2	papapixiestimewarp	Bowman	90	 	 	Tactic	Strategy	You may do each of your character actions at the top and working your way done. When you're done, resume your turn. You can't play more than one Papa Pixie's Time Warp each turn.	 80BBB Spawn / Think Fast 100 -- Play a monster or tactic of level 100 or less. 	   	R	2014
Phantom Watch	Set2	phantomwatch	Bowman	95	70	70	Monster	Undead Time Spook	Stealthy -- Monsters can't attack Phantom Watch.	 80BBB Deadly Shot -- Do 30 damage to a character or monster. 	   	R	2015
Alishar	Set2	alishar	Magician	56	30	120	Monster	Boss	70MMM Time Tornado -- Each player shuffles his or her discard pile and hand into his or her deck. Then each player draws 5 cards.	   	   	U	2016
Alishar's Death Magic	Set2	alisharsdeathmagic	Magician	80	 	 	Tactic	Strategy	Do 150 damage to a character or monster.	 OS: Amaze -- Name a card. Reveal the top card of your deck. If you named that card, put it into your hand and do 40 damage to a character or monster. 	   	R	2017
Beginner's Bolt	Set2	beginnersbolt	Magician	20	 	 	Tactic	Skill	Do 60 damage to a character or monster.	 30M Spawn / Equip 30 -- Play a monster or item of level 30 or less. 	   	C	2018
Black Magic Shoes	Set2	blackmagicshoes	Magician	30	 	 	Item	Armor	When your turn starts, you may choose an action on a card under your character. When you would do that action this turn, do it twice instead.	 60MM Spawn / Equip 70 -- Play a monster or item of level 70 or less. 	   	U	2019
Blue Dragon Turtle	Set2	bluedragonturtle	Magician	90	80	100	Monster	Ice Dragon Turtle	 	 70M Spawn 90 -- Play a monster of level 90 or less. 	   	R	2020
Boosted Heal	Set2	boostedheal	Magician	35	 	 	Tactic	Skill	For Each Magician card under your character, you get +20 HP. You can't go over your starting HP with Boosted Heal.	 50MM Think Fast 70 -- Play a tactic of level 70 or less. 	   	U	2021
Epic Quest	Set2	epicquest	Magician	90	 	 	Tactic	Strategy	Draw 3 cards.	 OS: Magician Prowess -- Play a Magician card of your level or less. 	   	R	2022
Felix	Set2	felix	Magician		 	170	Character	Fire/Poison Mage	10 Quest	 20MM Poison Mist -- Do 20 damage to a character. 	 40MMM Spellshape -- Play a tactic of your level or less. If you do, draw a card. Then discard a card from your hand. 	U	2023
Fire Arrow	Set2	firearrow	Magician	60	 	 	Tactic	Skill	Do 50 damage to a character or monster. Draw a card.	 50MM Spawn / Think Fast 50 -- Play a monster or tactic of level 50 or less. 	   	C	2024
Ghost Stump	Set2	ghoststump	Magician	19	10	40	Monster	Undead Flora	 	 90MM Spawn 140 -- Play a monster of level 140 or less. 	   	C	2025
MP Recovery	Set2	mprecovery	Magician	10	 	 	Tactic	Skill	Return a tactic card from your discard pile to your hand.	 OS: Amaze -- Name a card. Reveal the top card of your deck. If you named that card, put it into your hand and do 40 damage to a character or monster. 	   	C	2026
MT-09	Set2	mt09	Magician	54	30	30	Monster	Mechanical Alien	Genius -- When you play MT-09, draw a card. Leader 10 -- Each of your other Alien and Mechanical monsters gets +10 attack and +10 HP.	 70MMM Blast -- Do 40 damage to a character. 	   	R	2027
Plateon	Set2	plateon	Magician	44	30	10	Monster	Mechanical Alien	Genius -- When you play Plateon, draw a card.	 OS: Quest -- Draw a card. 	   	C	2028
Surprised Octopus	Set2	surprisedoctopus	Magician	12	20	20	Monster	Alien	Panic -- When you play Surprised Octopus, look at the top 3 cards of your deck and put them back in any order.	 70M Think Fast 90 -- Play a tactic of level 90 or less. 	   	U	2029
Wizard Wand	Set2	wizardwand	Magician	40	 	 	Item	Wand	When your turn ends, you may flip a coin. If you win, draw a card, and you may flip the coin again. If you lose, discard all the cards from your hand.	 30MM Think Fast 40 -- Play a tactic of level 40 or less. 	   	R	2030
Book Ghost	Set2	bookghost	Thief	55	60	40	Monster	Undead Spook	 	 50T Spawn / Think Fast 50 -- Play a monster or tactic of level 50 or less. 	   	C	2031
Dark Scorpio	Set2	darkscorpio	Thief	60	 	 	Item	Armor	When you would take more than 30 damage all at once take only 30 damage instead.	 40TTT Crafty -- Play a Thief card of your level or less. 	   	R	2032
Lazy Buffy	Set2	lazybuffy	Thief	66	50	40	Monster	Undead Clown	cRaZy -- When you play Lazy Buffy, destroy a card under your opponent's character. Then he or she levels up with the top card of his or her deck.	 OS: Rant -- Choose an action on a card under your opponent's character. Your opponent can't use that action next turn. 	   	R	2033
Nova	Set2	nova	Thief		 	200	Character	Assassin	10 Quest -- Draw a card.	 20TT Mastermind -- Play a Weapon, Strategy, or Undead card of your level or less. 	 40T Slash -- Do 20 damage to a character or monster. 	R	2034
Omok Table	Set2	omoktable	Thief	30	 	 	Item	Minigame	When your turn starts, you may look at the top card of your deck. Put it back on the top or the bottom of your deck.	 70TT Think Fast / Equip 80   -- Play a tactic or item of level 80 or less. 	   	U	2035
Pianus	Set2	pianus	Thief	110	50	200	Monster	Boss	90TTT White-Hot Doom Blast -- Pianus does 100 damage to a character or monster.	   	   	R	2036
Poison Poopa	Set2	poisonpoopa	Thief	40	30	20	Monster	Water Fish	The next time your opponent plays a monster, destroy that monster and this item.	 30T Spawn / Equip 30 -- Play a monster or item of level 30 or less. 	   	U	2037
Poisonous Mushroom	Set2	poisonousmushroom	Thief	30	 	 	Item	Food	Fugu -- When Poison Poopa damages a non-Boss monster, destroy that monster.	 60TT Spawn / Equip 60 -- Play a monster or item of level 60 or less. 	   	C	2038
Reef Claw	Set2	reefclaw	Thief	40	 	 	Item	Weapon	Whenever your opponent levels up, do 10 damage to his or her character.	 OS: Thief Prowess -- Play a Thief card of your level or less. 	   	C	2039
Savage Blow	Set2	savageblow	Thief	40	 	 	Tactic	Skill	Choose one: Destroy a monster, or your opponent chooses and discards a card from his or her hand.	 80TT Spawn 110 -- Play a monster of level 110 or less. 	   	C	2040
Sneaky Twink	Set2	sneakytwink	Thief	20	 	 	Tactic	Strategy	Get +20 to your level until end of turn.	 40TT Spawn / Think Fast 40 -- Play a monster or tactic of level 40 or less. 	   	U	2041
